"DATE","LOCATION","d.15","d.46","d.76","d.107","d.137","d.168","d.198","d.229","d.259","d.290","d.320"
1971-05-07,"S4W",4.14,5.94,6.4,4.88,5.03,4.57,4.57,4.57,NA,NA,NA
1971-05-07,"S5",2.64,2.74,3.35,3.66,3.35,2.74,2.9,4.57,NA,NA,NA
1971-05-05,"S6",2.97,5.03,5.33,3.66,3.66,4.27,3.81,3.81,NA,NA,NA
1971-06-18,"S4E",8.64,8.08,6.55,5.49,4.57,5.03,4.57,4.27,4.42,NA,NA
1971-06-18,"S4S",3.2,3.66,3.35,5.18,4.42,4.88,4.11,3.81,3.2,2.74,NA
1971-06-18,"S4W",5.26,8.38,6.71,5.18,5.18,4.88,4.72,4.72,NA,NA,NA
1971-06-18,"S5",4.6,3.2,4.57,3.51,3.51,2.59,2.9,4.72,NA,NA,NA
1971-07-15,"S4S",2.24,2.74,1.98,3.2,3.96,5.18,4.27,4.27,3.2,2.74,NA
1971-07-15,"S4W",4.83,5.33,6.25,4.88,4.57,4.42,4.27,4.27,NA,NA,NA
1971-07-15,"S5",2.74,2.44,2.29,3.35,3.35,2.59,2.74,4.88,NA,NA,NA
1971-07-15,"S4E",5.59,8.23,6.4,5.49,4.57,5.49,6.25,4.27,4.11,NA,NA
1971-08-16,"S5",1.5,0.91,0.76,2.59,2.74,2.29,2.44,3.66,NA,NA,NA
1971-08-16,"S4E",4.57,6.4,6.1,5.18,4.42,5.03,4.27,3.96,3.81,NA,NA
1971-08-16,"S4W",2.9,1.22,5.64,4.42,4.42,4.11,4.11,4.11,NA,NA,NA
1971-08-16,"S4S",1.78,1.07,1.07,2.29,2.59,4.11,4.11,3.66,3.35,2.9,NA
1971-09-08,"S4S",3.35,2.9,2.13,2.59,2.13,3.81,3.66,3.81,3.2,2.74,NA
1971-09-08,"S5",1.68,1.68,1.52,2.29,2.13,1.57,2.44,NA,NA,NA,NA
1971-09-08,"S4E",5.61,7.47,5.79,4.88,4.11,4.72,4.57,3.81,3.81,NA,NA
1971-09-08,"S4W",3.73,3.81,5.03,3.96,4.11,3.81,3.81,3.81,NA,NA,NA
1971-10-08,"S5",2.24,3.05,2.74,2.44,1.83,1.83,2.29,2.29,NA,NA,NA
1971-10-08,"S4E",5.74,8.38,6.1,4.11,5.33,4.72,4.27,4.72,6.55,NA,NA
1971-10-08,"S4W",4.17,5.18,5.79,4.57,4.57,4.11,3.66,3.66,NA,NA,NA
1971-10-08,"S4S",2.57,3.35,2.9,4.27,3.51,4.57,3.81,3.51,3.2,2.74,NA
1971-11-09,"S1N",2.95,7.11,4.42,3.86,2.13,2.13,2.13,3.05,3.2,3.2,2.9
1971-11-09,"S1S",2.87,6.25,3.96,3.66,3.2,3.2,1.98,0.15,0.91,7.92,10.82
1971-11-09,"S2E",3.78,7.47,3.51,3.81,3.51,3.81,1.68,1.68,NA,NA,NA
1971-11-09,"S2W",3.81,4.11,2.29,3.2,2.74,3.05,3.51,3.66,3.05,1.98,2.29
1971-11-11,"S2S",3.56,5.79,6.63,5.18,4.72,4.11,4.72,4.88,0.2,NA,NA
1971-11-11,"S3W",2.01,2.13,1.68,2.9,4.72,3.81,2.74,2.44,1.83,3.66,2.9
1971-11-08,"S4E",7.57,7.92,6.25,5.33,4.42,5.41,4.72,4.11,4.11,NA,NA
1971-11-08,"S4S",1.75,2.9,2.59,4.11,5.64,5.64,4.57,4.42,3.66,2.9,NA
1971-11-08,"S4W",4.88,6.25,6.25,5.03,4.88,4.27,4.5,4.5,NA,NA,NA
1971-11-08,"S5",3.07,2.74,3.51,3.35,3.2,2.44,2.29,3.96,NA,NA,NA
1971-11-11,"S6",2.92,5.03,5.03,3.66,3.05,3.66,2.74,2.74,NA,NA,NA
1972-03-23,"S4S",4.01,5.03,2.9,2.74,2.44,3.96,3.81,3.81,3.2,2.74,NA
1972-03-23,"S4W",7.67,8.99,6.25,4.72,5.03,4.27,4.11,4.11,NA,NA,NA
1972-03-23,"S5",4.78,3.96,3.05,3.35,3.35,2.59,2.74,4.27,NA,NA,NA
1972-05-03,"S1N",3.3,7.8,4.88,4.42,4.11,3.96,3.96,4.27,4.11,5.49,6.1
1972-05-03,"S1S",3.68,7.01,4.27,4.72,5.03,6.1,4.57,4.42,10.06,9.75,11.13
1972-05-03,"S2E",4.52,8.38,3.96,4.11,3.81,4.11,3.2,3.2,NA,NA,NA
1972-05-03,"S2W",3.61,4.11,1.98,3.35,2.9,3.2,3.96,3.66,3.35,3.35,2.74
1972-05-03,"S2S",4.55,6.55,6.25,5.64,5.03,4.88,5.33,5.49,4.88,3.2,3.2
1972-05-04,"S3W",3.58,2.59,2.29,3.96,5.64,4.72,5.49,5.64,4.27,7.16,7.77
1972-05-04,"S4S",2.13,3.35,2.9,3.96,6.86,5.79,4.57,4.27,3.81,2.74,NA
1972-05-04,"S4W",6.1,7.77,6.25,5.03,5.33,4.72,4.57,4.57,NA,NA,NA
1972-05-04,"S5",2.59,3.35,3.66,3.81,3.51,3.05,3.05,4.88,NA,NA,NA
1972-05-05,"S6",3.33,5.79,5.03,3.96,3.66,4.42,3.96,3.96,NA,NA,NA
1972-06-07,"S5",1.19,1.68,2.44,3.51,3.51,3.2,3.2,4.88,NA,NA,NA
1972-06-07,"S4S",0.99,1.22,2.29,3.2,4.27,5.49,4.88,4.57,3.96,3.35,NA
1972-06-07,"S4W",3.81,3.96,5.94,5.03,4.72,4.42,4.42,4.42,NA,NA,NA
1972-07-12,"S5",2.67,3.96,5.64,3.81,3.66,3.05,3.05,4.57,NA,NA,NA
1972-07-12,"S4S",2.29,4.42,3.96,5.64,5.03,4.27,3.81,3.96,3.66,3.2,NA
1972-07-12,"S4W",5.79,9.14,6.25,4.88,5.18,4.42,4.42,4.42,NA,NA,NA
1972-08-01,"S5",1.4,1.83,2.74,3.51,3.35,2.9,2.9,4.57,NA,NA,NA
1972-08-01,"S4W",3,4.27,5.79,4.72,4.88,4.42,4.27,4.27,NA,NA,NA
