"","YEAR","LOCATION","season","d.15","d.46","d.76","d.107","d.137","d.168","d.198","d.229","d.259","d.290","d.320"
"139",1999,"S2S","Growing",3.66,4.32,6.83,4.47,4.24,3.45,4.11,4.17,1.4,1.88,1.68
"140",1999,"S2S","Melt",4.65,4.7,6.98,5,4.52,4.11,4.6,4.83,2.84,2.9,2.62
"141",1999,"S2S","Snow",4.14,3.94,6.81,4.78,4.39,4.09,4.39,4.62,1.19,2.11,1.68
"142",2000,"S2E","Growing",0.81,1.04,1.17,1.4,1.5,1.5,1.22,1.22,NA,NA,NA
"143",2000,"S2E","Melt",4.09,7.67,3.4,2.59,1.83,1.63,1.4,1.4,NA,NA,NA
"144",2000,"S2E","Snow",3.96,7.72,3.17,2.11,1.65,1.37,1.24,1.24,NA,NA,NA
"145",2000,"S2S","Growing",1.07,0.2,4.17,2.84,2.62,2.39,2.64,2.46,0.03,1.12,1.12
"146",2000,"S2S","Melt",5.11,5.16,7.06,4.9,4.7,4.09,4.6,4.9,2.29,2.92,2.57
"147",2000,"S2S","Snow",5.61,4.57,6.68,4.67,4.22,3.76,4.17,4.57,2.74,2.92,2.18
"148",2001,"S2E","Growing",1.8,1.19,1.22,1.27,1.57,1.52,1.32,1.32,NA,NA,NA
"149",2001,"S2E","Melt",4.52,8.28,3.61,2.84,1.83,1.63,1.5,1.5,NA,NA,NA
"150",2001,"S2E","Snow",4.19,6.96,3.07,2.24,1.47,1.19,1.19,1.19,NA,NA,NA
"151",2001,"S2S","Growing",2.01,0.3,4.24,2.84,2.57,2.62,2.77,2.59,0.1,1.24,1.24
"152",2001,"S2S","Melt",4.57,5.38,7.06,4.93,4.83,4.22,4.6,4.93,2.79,3.33,2.84
"153",2001,"S2S","Snow",3.58,4.39,7.14,4.55,4.17,3.94,4.57,3.91,0.97,2.57,2.18
"154",2002,"S2E","Growing",0.64,1.27,1.35,1.65,1.73,1.4,1.42,1.42,NA,NA,NA
"155",2002,"S2E","Melt",4.22,8.79,3.33,2.29,1.73,1.42,1.35,1.35,NA,NA,NA
"156",2002,"S2E","Snow",3.23,4.37,1.73,1.73,1.4,1.19,1.35,1.35,NA,NA,NA
